ACRE;RESIDENCIAL;R-1 (RESIDÊNCIA UNIFAMILIAR);R1-B (PADRÃO BAIXO);Residência unifamiliar padrão baixo: 1 pavimento, com 2 dormitórios, sala, banheiro, cozinha e área para tanque;1542,89
;;;R1-N (PADRÃO NORMAL);Residência unifamiliar padrão normal: 1 pavimento, 3 dormitórios, sendo um suíte com banheiro, banheiro social, sala, circulação, cozinha, área de serviço com banheiro e varanda (abrigo para automóvel).;1626,85
;;;R1-A (PADRÃO ALTO);Residência unifamiliar padrão alto: 1 pavimento, 4 dormitórios, sendo um suíte com banheiro e closet, outro com banheiro, banheiro social, sala de estar, sala de jantar e sala íntima, circulação, cozinha, área de serviço completa e varanda (abrigo para automóvel).;2183,41
;;PP (PRÉDIO POPULAR);PP-B (PADRÃO BAIXO);Residência multifamiliar - Prédio popular - padrão baixo: térreo e 3 pavimentos-tipo. Pavimento térreo: Hall de entrada, escada e 4 apartamentos por andar com 2 dormitórios, sala, banheiro, cozinha e área de serviço. Na área externa estão localizados o cômodo de lixo, guarita, central de gás, depósito com banheiro e 16 vagas descobertas. Pavimento-tipo: Hall de circulação, escada e 4 apartamentos por andar, com 2 dormitórios, sala, banheiro, cozinha e área de serviço.;1412,42
;;;PP-N (PADRÃO NORMAL);Residência multifamiliar - prédio popular - padrão normal: Pilotis e 4 pavimentos-tipo. Pilotis: Escada, elevador, 32 vagas de garagem cobertas, cômodo de lixo, depósito, hall de entrada, salão de festas, copa, 3 banheiros, central de gás e guarita. Pavimento-tipo: Hall de circulação, escada, elevadores e quatro apartamentos por andar, com três dormitórios, sendo um suíte, sala de estar/jantar, banheiro social, cozinha, área de serviço com banheiro e varanda;1620,02
;;R-8;R8-B (PADRÃO BAIXO);Residência multifamiliar padrão baixo: Pavimento térreo e 7 pavimentos-tipo Pavimento térreo: Hall de entrada, elevador, escada e 4 apartamentos por andar, com 2 dormitórios, sala, banheiro, cozinha e área para tanque. Na área externa estão localizados o cômodo de lixo e 32 vagas descobertas. Pavimento-tipo: Hall de circulação, escada e 4 apartamentos por andar, com 2 dormitórios, sala, banheiro, cozinha e área para tanque.;1357,8
;;;R8-N (PADRÃO NORMAL);Residência multifamiliar, padrão normal: Garagem, pilotis e oito pavimentos-tipo. Garagem: Escada, elevadores, 64 vagas de garagem cobertas, cômodo de lixo depósito e instalação sanitária. Pilotis: Escada, elevadores, hall de entrada, salão de festas, copa, 2 banheiros, central de gás e guarita. Pavimento-tipo: Hall de circulação, escada, elevadores e quatro apartamentos por andar, com três dormitórios, sendo um suíte, sala estar/jantar, banheiro social, cozinha, área de serviço com banheiro e varanda.;1386,78
;;;R8-A (PADRÃO ALTO);Residência multifamiliar, padrão alto: Garagem, pilotis e oito pavimentos-tipo. Garagem: Escada, elevadores, 48 vagas de garagem cobertas, cômodo de lixo, depósito e instalação sanitária. Pilotis: Escada, elevadores, hall de entrada, salão de festas, salão de jogos, copa, 2 banheiros, central de gás e guarita. Pavimento-tipo: Halls de circulação, escada, elevadores e 2 apartamentos por andar, com 4 dormitórios, sendo um suíte com banheiro e closet, outro com banheiro, banheiro social, sala de estar, sala de jantar e sala íntima, circulação, cozinha, área de serviço completa e varanda.;1811,75
;;R-16;R16-N (PADRÃO NORMAL);Residência multifamiliar, padrão normal: Garagem, pilotis e 16 pavimentos-tipo. Garagem: Escada, elevadores, 128 vagas de garagem cobertas, cômodo de lixo depósito e instalação sanitária. Pilotis: Escada, elevadores, hall de entrada, salão de festas, copa, 2 banheiros, central de gás e guarita. Pavimento-tipo: Hall de circulação, escada, elevadores e quatro apartamentos por andar, com três dormitórios, sendo um suíte, sala de estar/jantar, banheiro social, cozinha e área de serviço com banheiro e varanda.;1353,62
;;;R16-A (PADRÃO ALTO);Residência multifamiliar, padrão alto: Garagem, pilotis e 16 pavimentos-tipo. Garagem: Escada, elevadores, 96 vagas de garagem cobertas, cômodo de lixo, depósito e instalação sanitária. Pilotis: Escada, elevadores, hall de entrada, salão de festas, salão de jogos, copa, 2 banheiros, central de gás e guarita. Pavimento-tipo: Halls de circulação, escada, elevadores e 2 apartamentos por andar, com 4 dormitórios, sendo um suíte com banheiro e closet, outro com banheiro, banheiro social, sala de estar, sala de jantar e sala íntima, circulação, cozinha, área de serviço completa e varanda.;1859,49
